CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT,Farmer_Age,Farm_Location,Farm_Size,Crop_Type,Annual_Income,Water_Bill,Fertilizer_Usage
BANANA,DRY,SEMI HUMID,30-40,SUNNY,10.45,53,Tabuk,6.56,Tomato,77511,1655.5,139.7
BANANA,DRY,SEMI HUMID,30-40,WINDY,9.9,42,Riyadh,9.41,Cucumber,77308,3626.51,369.5
BANANA,DRY,SEMI HUMID,30-40,RAINY,0.95,62,Tabuk,11.22,Dates,91352,5284.01,53.9
BANANA,DRY,SEMI HUMID,40-50,NORMAL,9.9,32,Al-Madinah,11.37,Barley,78869,6526.17,116.2
BANANA,DRY,SEMI HUMID,40-50,SUNNY,11.4,63,Riyadh,7.18,Tomato,70426,5239.2,222.4
BANANA,DRY,SEMI HUMID,40-50,WINDY,10.9,49,Tabuk,11.97,Dates,146537,8906.27,250.2
BANANA,DRY,SEMI HUMID,40-50,RAINY,1.9,40,Qassim,11.12,Wheat,120441,2724.96,145.9
BANANA,DRY,HUMID,10-20,NORMAL,5.65,33,Tabuk,8.53,Cucumber,82370,825.44,375.8
BANANA,DRY,HUMID,10-20,SUNNY,7.15,40,Riyadh,1.49,Barley,56362,6824.89,147.6
BANANA,DRY,HUMID,10-20,WINDY,6.6,50,Al-Madinah,11.35,Dates,195146,8323.03,79.3
BANANA,DRY,HUMID,10-20,RAINY,0.1,64,Jazan,14.41,Cucumber,124726,8828.42,378.6
BANANA,DRY,HUMID,20-30,NORMAL,6.6,46,Al-Madinah,9.32,Tomato,82087,1657.53,188.8
BANANA,DRY,HUMID,20-30,SUNNY,8.1,43,Qassim,12.06,Barley,128700,6147.82,283.6
BANANA,DRY,HUMID,20-30,WINDY,7.6,34,Al-Madinah,10.48,Tomato,95155,860.36,114.2
BANANA,DRY,HUMID,20-30,RAINY,0.3,57,Al-Madinah,14.34,Tomato,187282,5887.39,141.8
BANANA,DRY,HUMID,30-40,NORMAL,7.68,59,Tabuk,1.34,Cucumber,171454,5282.23,467.5
BANANA,DRY,HUMID,30-40,SUNNY,8.18,61,Tabuk,5.66,Tomato,71763,6515.1,374.2
BANANA,DRY,HUMID,30-40,WINDY,8.6,57,Jazan,1.27,Wheat,177251,2270.58,119.5
BANANA,DRY,HUMID,30-40,RAINY,0.8,59,Tabuk,6.93,Wheat,45355,9858.57,232.5
BANANA,DRY,HUMID,40-50,NORMAL,8.65,41,Al-Madinah,8.46,Barley,188641,8444.99,176.5
BANANA,DRY,HUMID,40-50,SUNNY,10.15,40,Hail,8.36,Cucumber,65601,6111.16,357.0
BANANA,DRY,HUMID,40-50,WINDY,9.65,47,Jazan,3.35,Tomato,91573,6422.01,316.4
BANANA,DRY,HUMID,40-50,RAINY,0.65,47,Riyadh,9.38,Cucumber,196651,6872.25,493.1
BANANA,HUMID,DESERT,10-20,NORMAL,6.695,29,Hail,13.01,Dates,95830,8613.54,355.8
BANANA,HUMID,DESERT,10-20,SUNNY,8.2,53,Jazan,11.41,Cucumber,78906,1547.84,145.7
BANANA,HUMID,DESERT,10-20,WINDY,7.7,53,Tabuk,0.75,Cucumber,85873,8192.34,488.4
BANANA,HUMID,DESERT,10-20,RAINY,0.6,48,Jazan,6.49,Barley,163935,7595.66,408.7
BANANA,HUMID,DESERT,20-30,NORMAL,7.695,63,Jazan,11.78,Cucumber,135352,7080.28,387.0
BANANA,HUMID,DESERT,20-30,SUNNY,9.2,36,Jazan,5.55,Wheat,186972,2189.92,434.8
BANANA,HUMID,DESERT,20-30,WINDY,8.7,28,Qassim,2.19,Barley,58511,3695.92,62.1
BANANA,HUMID,DESERT,20-30,RAINY,0.8,55,Al-Ahsa,12.51,Barley,163164,6152.14,475.6
BANANA,HUMID,DESERT,30-40,NORMAL,8.7,29,Riyadh,12.56,Dates,40146,9830.77,320.0
BANANA,HUMID,DESERT,30-40,SUNNY,10.2,52,Tabuk,6.24,Cucumber,193743,3899.97,314.3
BANANA,HUMID,DESERT,30-40,WINDY,9.6,25,Tabuk,6.85,Wheat,153495,3444.16,269.6
BANANA,HUMID,DESERT,30-40,RAINY,0.7,61,Qassim,11.46,Barley,133254,1616.3,465.9
BANANA,HUMID,DESERT,40-50,NORMAL,9.5,37,Hail,8.48,Tomato,199314,7238.88,384.6
BANANA,HUMID,DESERT,40-50,SUNNY,11.0,46,Riyadh,0.55,Barley,53599,812.83,317.2
BANANA,HUMID,DESERT,40-50,WINDY,10.5,25,Qassim,14.66,Wheat,63457,4283.77,286.1
BANANA,HUMID,DESERT,40-50,RAINY,1.5,25,Hail,13.25,Barley,197024,4904.76,81.6
BANANA,HUMID,SEMI ARID,10-20,NORMAL,5.92,38,Tabuk,7.87,Barley,190304,2866.15,230.3
BANANA,HUMID,SEMI ARID,10-20,SUNNY,7.42,26,Jazan,2.15,Dates,135174,7822.06,207.8
BANANA,HUMID,SEMI ARID,10-20,WINDY,6.9,64,Qassim,6.65,Tomato,60080,4847.22,96.0
BANANA,HUMID,SEMI ARID,10-20,RAINY,0.1,50,Hail,13.35,Wheat,184312,6021.08,129.3
BANANA,HUMID,SEMI ARID,20-30,NORMAL,6.92,37,Riyadh,2.37,Tomato,123879,2435.81,466.1
BANANA,HUMID,SEMI ARID,20-30,SUNNY,8.42,64,Al-Ahsa,14.58,Cucumber,61479,1006.71,96.7
BANANA,HUMID,SEMI ARID,20-30,WINDY,7.9,35,Jazan,1.18,Barley,142483,1403.69,405.9
BANANA,HUMID,SEMI ARID,20-30,RAINY,0.5,53,Al-Ahsa,7.49,Cucumber,40669,1546.89,192.8
BANANA,HUMID,SEMI ARID,30-40,NORMAL,7.92,39,Riyadh,12.06,Wheat,146463,1696.29,106.5
BANANA,HUMID,SEMI ARID,30-40,SUNNY,9.42,60,Jazan,5.05,Barley,194389,2818.18,250.9
BANANA,HUMID,SEMI ARID,30-40,WINDY,8.9,46,Al-Madinah,4.34,Tomato,67354,3422.71,472.4
BANANA,HUMID,SEMI ARID,30-40,RAINY,0.8,36,Riyadh,14.23,Wheat,183080,3986.35,253.4
BANANA,HUMID,SEMI ARID,40-50,NORMAL,8.92,55,Hail,2.29,Tomato,99463,2074.99,355.6
BANANA,HUMID,SEMI ARID,40-50,SUNNY,10.42,60,Riyadh,5.94,Barley,148284,2022.79,288.3
BANANA,HUMID,SEMI ARID,40-50,WINDY,9.9,28,Jazan,9.97,Wheat,117337,4539.93,485.0
BANANA,HUMID,SEMI ARID,40-50,RAINY,0.92,38,Tabuk,5.38,Wheat,190036,8139.08,428.0
BANANA,HUMID,SEMI HUMID,10-20,NORMAL,4.89,49,Qassim,4.58,Cucumber,123098,4068.71,394.4
BANANA,HUMID,SEMI HUMID,10-20,SUNNY,6.39,32,Jazan,1.86,Wheat,122093,2622.7,172.2
BANANA,HUMID,SEMI HUMID,10-20,WINDY,5.8,49,Tabuk,5.67,Barley,122387,6269.96,261.6
BANANA,HUMID,SEMI HUMID,10-20,RAINY,0.1,31,Al-Madinah,8.81,Wheat,63853,6503.4,474.6
BANANA,HUMID,SEMI HUMID,20-30,NORMAL,5.6,36,Tabuk,11.37,Wheat,85750,3703.58,485.2
BANANA,HUMID,SEMI HUMID,20-30,SUNNY,7.1,57,Hail,1.8,Barley,174617,4417.14,291.3
BANANA,HUMID,SEMI HUMID,20-30,WINDY,6.6,40,Jazan,2.08,Wheat,172740,1177.26,271.6
BANANA,HUMID,SEMI HUMID,20-30,RAINY,0.2,46,Jazan,6.84,Cucumber,96522,2472.13,483.0
BANANA,HUMID,SEMI HUMID,30-40,NORMAL,6.5,54,Qassim,6.98,Dates,66960,8612.8,182.3
BANANA,HUMID,SEMI HUMID,30-40,SUNNY,8.1,39,Hail,5.97,Barley,199619,2044.42,450.9
BANANA,HUMID,SEMI HUMID,30-40,WINDY,7.5,33,Riyadh,9.3,Tomato,133337,9259.01,217.7
BANANA,HUMID,SEMI HUMID,30-40,RAINY,0.5,62,Al-Ahsa,14.4,Cucumber,183214,4858.65,81.2
BANANA,HUMID,SEMI HUMID,40-50,NORMAL,7.5,36,Hail,1.48,Barley,53938,1103.89,251.2
BANANA,HUMID,SEMI HUMID,40-50,SUNNY,9.0,34,Jazan,7.51,Tomato,130834,4698.01,145.8
BANANA,HUMID,SEMI HUMID,40-50,WINDY,8.5,36,Riyadh,5.5,Tomato,190112,9019.79,338.4
BANANA,HUMID,SEMI HUMID,40-50,RAINY,0.8,53,Jazan,14.06,Wheat,89812,1074.74,331.2
BANANA,HUMID,HUMID,10-20,NORMAL,3.65,38,Hail,1.84,Barley,90615,7377.22,258.4
BANANA,HUMID,HUMID,10-20,SUNNY,5.15,43,Al-Madinah,3.97,Cucumber,142457,6467.57,231.6
BANANA,HUMID,HUMID,10-20,WINDY,4.65,32,Al-Ahsa,8.67,Barley,115785,1676.04,264.9
BANANA,HUMID,HUMID,10-20,RAINY,0.1,54,Tabuk,2.19,Barley,69216,5373.33,477.1
BANANA,HUMID,HUMID,20-30,NORMAL,4.65,42,Qassim,9.95,Dates,130211,1067.34,171.3
BANANA,HUMID,HUMID,20-30,SUNNY,6.15,63,Qassim,14.15,Cucumber,82964,7405.96,384.7
BANANA,HUMID,HUMID,20-30,WINDY,5.65,61,Jazan,8.03,Cucumber,87929,7401.21,116.2
BANANA,HUMID,HUMID,20-30,RAINY,0.2,31,Al-Ahsa,3.75,Tomato,57670,1290.71,377.2
BANANA,HUMID,HUMID,30-40,NORMAL,5.0,33,Al-Madinah,12.47,Dates,119757,8570.28,79.1
BANANA,HUMID,HUMID,30-40,SUNNY,6.5,49,Al-Ahsa,14.62,Tomato,153234,2171.03,193.8
BANANA,HUMID,HUMID,30-40,WINDY,6.0,35,Tabuk,8.28,Cucumber,48575,3044.1,486.1
BANANA,HUMID,HUMID,30-40,RAINY,0.3,47,Jazan,7.88,Dates,119530,1774.16,357.8
BANANA,HUMID,HUMID,40-50,NORMAL,5.15,58,Al-Madinah,12.24,Barley,103696,4006.69,97.9
BANANA,HUMID,HUMID,40-50,SUNNY,6.65,38,Qassim,6.46,Wheat,126542,2151.45,281.4
BANANA,HUMID,HUMID,40-50,WINDY,6.2,64,Jazan,10.32,Cucumber,99918,3086.21,277.5
BANANA,HUMID,HUMID,40-50,RAINY,0.2,61,Al-Ahsa,10.05,Dates,92984,6752.0,79.1
BANANA,WET,DESERT,10-20,NORMAL,5.15,31,Riyadh,12.89,Tomato,167877,9786.66,314.4
BANANA,WET,DESERT,10-20,SUNNY,6.65,64,Qassim,1.56,Tomato,134425,6118.92,58.3
BANANA,WET,DESERT,10-20,WINDY,6.15,62,Hail,13.57,Tomato,163027,2487.17,172.3
BANANA,WET,DESERT,10-20,RAINY,0.2,49,Al-Madinah,1.14,Tomato,131459,5978.19,181.6
BANANA,WET,DESERT,20-30,NORMAL,6.15,52,Hail,4.27,Tomato,125252,3465.78,289.2
BANANA,WET,DESERT,20-30,SUNNY,7.65,46,Qassim,7.42,Wheat,117646,6566.57,497.5
BANANA,WET,DESERT,20-30,WINDY,7.15,32,Tabuk,9.98,Wheat,73728,5368.14,234.5
BANANA,WET,DESERT,20-30,RAINY,0.3,53,Tabuk,8.41,Barley,171882,2053.24,284.9
BANANA,WET,DESERT,30-40,NORMAL,7.15,33,Al-Madinah,4.1,Cucumber,155772,2469.63,291.6
BANANA,WET,DESERT,30-40,SUNNY,8.65,40,Hail,11.46,Cucumber,174508,7075.99,125.7
BANANA,WET,DESERT,30-40,WINDY,8.1,38,Al-Ahsa,3.3,Wheat,183361,7048.67,367.6
BANANA,WET,DESERT,30-40,RAINY,0.8,27,Hail,6.92,Dates,136040,9568.96,184.8
BANANA,WET,DESERT,40-50,NORMAL,8.15,50,Riyadh,3.79,Wheat,52324,3570.12,218.9
BANANA,WET,DESERT,40-50,SUNNY,9.65,47,Jazan,13.98,Cucumber,151836,2185.94,206.5
BANANA,WET,DESERT,40-50,WINDY,9.15,29,Jazan,5.06,Cucumber,92675,6849.92,70.1
BANANA,WET,DESERT,40-50,RAINY,0.15,38,Qassim,13.24,Cucumber,133782,3286.34,228.7
BANANA,WET,SEMI ARID,10-20,NORMAL,4.37,60,Riyadh,1.64,Barley,122548,2824.03,313.8
BANANA,WET,SEMI ARID,10-20,SUNNY,5.87,37,Jazan,4.58,Tomato,146529,7216.61,281.0
BANANA,WET,SEMI ARID,10-20,WINDY,5.3,28,Al-Madinah,12.7,Dates,155832,848.25,428.5
BANANA,WET,SEMI ARID,10-20,RAINY,0.1,41,Hail,3.17,Tomato,172486,935.72,214.5
BANANA,WET,SEMI ARID,20-30,NORMAL,5.3,29,Jazan,3.36,Tomato,95426,2405.05,207.9
BANANA,WET,SEMI ARID,20-30,SUNNY,6.8,63,Qassim,12.09,Dates,162169,6884.14,289.6
BANANA,WET,SEMI ARID,20-30,WINDY,6.3,61,Al-Madinah,12.81,Wheat,52352,9749.49,288.6
BANANA,WET,SEMI ARID,20-30,RAINY,0.2,61,Al-Ahsa,4.61,Dates,173584,1388.83,160.6
BANANA,WET,SEMI ARID,30-40,NORMAL,6.3,34,Riyadh,2.3,Wheat,55313,2561.13,157.5
BANANA,WET,SEMI ARID,30-40,SUNNY,7.8,49,Tabuk,3.75,Cucumber,129380,9970.81,117.9
BANANA,WET,SEMI ARID,30-40,WINDY,7.3,38,Al-Ahsa,11.55,Wheat,160589,1984.86,437.8
BANANA,WET,SEMI ARID,30-40,RAINY,0.3,54,Qassim,8.94,Barley,127860,9613.76,61.6
BANANA,WET,SEMI ARID,40-50,NORMAL,7.2,48,Riyadh,2.85,Barley,133030,6134.35,445.0
BANANA,WET,SEMI ARID,40-50,SUNNY,8.7,46,Tabuk,7.49,Tomato,45375,8299.97,310.3
BANANA,WET,SEMI ARID,40-50,WINDY,8.2,60,Jazan,1.92,Cucumber,162856,4090.05,221.0
BANANA,WET,SEMI ARID,40-50,RAINY,0.8,62,Riyadh,4.43,Barley,118694,7749.26,58.3
BANANA,WET,SEMI HUMID,10-20,NORMAL,3.345,45,Hail,14.33,Dates,116915,9143.93,88.7
BANANA,WET,SEMI HUMID,10-20,SUNNY,4.85,54,Qassim,5.11,Dates,189264,1357.62,75.2
BANANA,WET,SEMI HUMID,10-20,WINDY,4.4,49,Al-Madinah,7.37,Dates,170477,5351.98,379.3
BANANA,WET,SEMI HUMID,10-20,RAINY,0.1,33,Al-Madinah,13.85,Barley,185350,8524.44,291.3
BANANA,WET,SEMI HUMID,20-30,NORMAL,4.4,38,Al-Ahsa,7.53,Dates,97763,4452.18,279.0
BANANA,WET,SEMI HUMID,20-30,SUNNY,5.9,59,Hail,12.74,Barley,123504,9555.18,114.8
BANANA,WET,SEMI HUMID,20-30,WINDY,5.4,51,Riyadh,1.86,Barley,91156,5903.06,345.0
BANANA,WET,SEMI HUMID,20-30,RAINY,0.1,59,Riyadh,6.22,Tomato,50465,1676.49,339.4
BANANA,WET,SEMI HUMID,30-40,NORMAL,5.54,39,Tabuk,5.86,Wheat,178083,4211.8,139.8
BANANA,WET,SEMI HUMID,30-40,SUNNY,7.04,50,Jazan,4.25,Tomato,144363,2171.1,198.1
BANANA,WET,SEMI HUMID,30-40,WINDY,6.5,49,Qassim,4.6,Dates,121650,3248.94,489.2
BANANA,WET,SEMI HUMID,30-40,RAINY,0.2,60,Al-Ahsa,5.22,Barley,80385,3710.52,162.3
BANANA,WET,SEMI HUMID,40-50,NORMAL,6.52,52,Tabuk,3.18,Barley,121775,6663.29,405.5
BANANA,WET,SEMI HUMID,40-50,SUNNY,8.02,58,Al-Ahsa,7.53,Tomato,40221,3833.89,141.9
BANANA,WET,SEMI HUMID,40-50,WINDY,7.5,35,Tabuk,13.53,Wheat,118802,5608.44,259.8
BANANA,WET,SEMI HUMID,40-50,RAINY,0.3,45,Hail,8.02,Barley,187211,1365.32,296.2
BANANA,WET,HUMID,10-20,NORMAL,2.06,48,Tabuk,2.67,Wheat,60921,9649.16,132.4
BANANA,WET,HUMID,10-20,SUNNY,3.56,37,Al-Ahsa,2.59,Wheat,104163,7442.76,115.8
BANANA,WET,HUMID,10-20,WINDY,3.0,45,Qassim,12.15,Barley,44241,5352.94,345.2
BANANA,WET,HUMID,10-20,RAINY,0.1,26,Qassim,0.8,Barley,123561,7619.02,99.9
BANANA,WET,HUMID,20-30,NORMAL,3.0,56,Tabuk,6.87,Wheat,123590,2388.67,218.6
BANANA,WET,HUMID,20-30,SUNNY,4.5,58,Al-Ahsa,2.69,Dates,188940,4770.31,192.6
BANANA,WET,HUMID,20-30,WINDY,4.0,47,Hail,8.84,Barley,97615,6437.03,290.0
BANANA,WET,HUMID,20-30,RAINY,0.1,61,Qassim,6.99,Dates,98201,9359.84,306.2
BANANA,WET,HUMID,30-40,NORMAL,4.1,51,Riyadh,4.28,Wheat,155223,8496.74,300.5
BANANA,WET,HUMID,30-40,SUNNY,5.6,35,Riyadh,3.47,Tomato,171054,8755.47,306.2
BANANA,WET,HUMID,30-40,WINDY,5.1,64,Hail,6.65,Wheat,94265,4562.31,173.9
BANANA,WET,HUMID,30-40,RAINY,0.1,44,Al-Ahsa,6.63,Cucumber,61977,3647.17,239.2
BANANA,WET,HUMID,40-50,NORMAL,5.15,64,Al-Ahsa,1.63,Dates,53050,8484.21,483.6
BANANA,WET,HUMID,40-50,SUNNY,6.65,41,Al-Ahsa,6.62,Barley,180198,5310.42,283.3
BANANA,WET,HUMID,40-50,WINDY,6.15,49,Al-Madinah,11.81,Cucumber,166649,3184.44,314.8
BANANA,WET,HUMID,40-50,RAINY,0.2,45,Qassim,11.64,Wheat,100733,9118.11,179.6
SOYABEAN,DRY,DESERT,10-20,NORMAL,6.97,29,Jazan,9.63,Barley,94740,3348.63,138.9
SOYABEAN,DRY,DESERT,10-20,SUNNY,8.47,32,Qassim,2.5,Barley,120709,3931.42,142.1
SOYABEAN,DRY,DESERT,10-20,WINDY,7.8,36,Hail,0.51,Tomato,197763,4910.87,146.0
SOYABEAN,DRY,DESERT,10-20,RAINY,0.2,37,Riyadh,6.36,Dates,180975,6949.66,312.4
SOYABEAN,DRY,DESERT,20-30,NORMAL,7.9,25,Qassim,12.99,Dates,165837,1113.19,485.2
SOYABEAN,DRY,DESERT,20-30,SUNNY,9.4,28,Qassim,10.22,Cucumber,112083,4373.08,288.5
SOYABEAN,DRY,DESERT,20-30,WINDY,8.9,35,Jazan,11.74,Cucumber,166901,1954.25,349.3
SOYABEAN,DRY,DESERT,20-30,RAINY,0.8,57,Al-Ahsa,6.9,Cucumber,179475,5067.06,95.5
SOYABEAN,DRY,DESERT,30-40,NORMAL,8.8,64,Jazan,13.44,Wheat,142295,7486.02,418.6
SOYABEAN,DRY,DESERT,30-40,SUNNY,10.3,28,Qassim,9.04,Barley,189953,2225.97,176.6
SOYABEAN,DRY,DESERT,30-40,WINDY,9.8,61,Qassim,12.93,Barley,53133,2729.5,59.3
SOYABEAN,DRY,DESERT,30-40,RAINY,0.8,40,Al-Ahsa,4.0,Wheat,95796,1749.99,428.9
SOYABEAN,DRY,DESERT,40-50,NORMAL,9.95,40,Jazan,11.83,Cucumber,182999,3994.72,341.9
SOYABEAN,DRY,DESERT,40-50,SUNNY,11.45,45,Al-Madinah,10.45,Dates,93252,1888.87,435.6
SOYABEAN,DRY,DESERT,40-50,WINDY,10.95,47,Al-Madinah,5.88,Cucumber,174904,5399.33,417.5
SOYABEAN,DRY,DESERT,40-50,RAINY,1.95,57,Jazan,11.34,Dates,125902,9674.85,348.3
SOYABEAN,DRY,SEMI ARID,10-20,NORMAL,7.98,30,Al-Ahsa,2.22,Cucumber,180924,4042.44,190.6
SOYABEAN,DRY,SEMI ARID,10-20,SUNNY,9.48,59,Jazan,8.29,Barley,188633,9279.81,488.2
SOYABEAN,DRY,SEMI ARID,10-20,WINDY,8.9,38,Qassim,10.54,Cucumber,173250,2582.06,388.2
SOYABEAN,DRY,SEMI ARID,10-20,RAINY,0.8,57,Hail,11.29,Wheat,95332,2676.51,425.3
SOYABEAN,DRY,SEMI ARID,20-30,NORMAL,8.6,29,Hail,11.09,Tomato,99938,2612.7,325.5
SOYABEAN,DRY,SEMI ARID,20-30,SUNNY,10.1,47,Riyadh,12.72,Dates,44115,4334.38,304.5
SOYABEAN,DRY,SEMI ARID,20-30,WINDY,9.6,31,Al-Ahsa,7.85,Dates,82880,4972.29,251.5
SOYABEAN,DRY,SEMI ARID,20-30,RAINY,0.6,32,Qassim,11.85,Tomato,129518,5378.12,430.6
SOYABEAN,DRY,SEMI ARID,30-40,NORMAL,9.8,44,Riyadh,11.03,Tomato,59738,2415.13,223.5
SOYABEAN,DRY,SEMI ARID,30-40,SUNNY,11.3,64,Tabuk,3.98,Cucumber,177163,9565.27,439.8
SOYABEAN,DRY,SEMI ARID,30-40,WINDY,10.8,56,Jazan,11.52,Tomato,156585,8978.21,391.8
SOYABEAN,DRY,SEMI ARID,30-40,RAINY,1.8,38,Hail,12.59,Wheat,155047,7322.97,474.7
SOYABEAN,DRY,SEMI ARID,40-50,NORMAL,10.95,26,Jazan,1.42,Wheat,56515,1700.08,357.6
SOYABEAN,DRY,SEMI ARID,40-50,SUNNY,12.45,58,Riyadh,4.83,Barley,67398,3585.07,235.4
SOYABEAN,DRY,SEMI ARID,40-50,WINDY,11.8,60,Al-Ahsa,9.16,Dates,52766,8013.58,237.3
SOYABEAN,DRY,SEMI ARID,40-50,RAINY,2.8,27,Qassim,14.89,Wheat,89950,3422.93,216.6
SOYABEAN,DRY,SEMI HUMID,10-20,NORMAL,5.53,62,Hail,13.37,Barley,89865,2378.47,248.9
SOYABEAN,DRY,SEMI HUMID,10-20,SUNNY,7.03,64,Riyadh,9.33,Tomato,146626,2026.79,443.9
SOYABEAN,DRY,SEMI HUMID,10-20,WINDY,6.5,49,Al-Madinah,12.72,Wheat,195255,8689.42,139.8
SOYABEAN,DRY,SEMI HUMID,10-20,RAINY,0.1,29,Qassim,8.26,Tomato,61872,1365.92,188.6
SOYABEAN,DRY,SEMI HUMID,20-30,NORMAL,6.5,35,Riyadh,3.13,Dates,175209,1301.01,278.6
SOYABEAN,DRY,SEMI HUMID,20-30,SUNNY,8.0,33,Tabuk,13.07,Tomato,73357,4600.25,192.0
SOYABEAN,DRY,SEMI HUMID,20-30,WINDY,7.5,55,Al-Ahsa,6.19,Tomato,52072,6562.04,94.7
SOYABEAN,DRY,SEMI HUMID,20-30,RAINY,0.5,61,Hail,2.99,Dates,66747,4275.85,237.8
SOYABEAN,DRY,SEMI HUMID,30-40,NORMAL,7.6,32,Al-Ahsa,11.78,Barley,49991,2310.85,263.6
SOYABEAN,DRY,SEMI HUMID,30-40,SUNNY,9.0,35,Tabuk,2.37,Dates,67405,8795.15,451.8
